,ci,lum,tem,logl
1,0.656,1.0,-6818.181818181818,0.0
2,0.482,9.6382902362397,-8163.265306122449,2.26574373150614
3,0.999,0.392283462539521,-5146.533238027162,-0.9357705817927792
4,-0.019,386.901131655109,-18897.63779527559,5.958169186631394
5,0.37,9.36698877952116,-9350.64935064935,2.2371916763530146
6,0.902,21.9988510904925,-5529.953917050691,3.0909902288352074
7,1.336,0.0314195528464107,-4147.465437788018,-3.4603248777514524
8,0.74,0.406256198186843,-6315.78947368421,-0.900771288379272
9,1.102,8.42558375339826,-4793.608521970705,2.1312727620752887
10,1.067,56.3378150850938,-4907.975460122699,4.031365980813974
11,0.489,2.72144774645437,-8098.987626546682,1.0011639984338123
12,0.081,57.7563846394533,-14968.814968814968,4.05623389981831
13,1.484,35.0267626913813,-3821.6560509554142,3.5561124176200045
14,1.128,2630267.99189538,-4712.041884816754,14.782596297021772
15,1.2,46.4301407281803,-4500.0,3.837948833002475
16,1.166,86.6961875758217,-4597.701149425287,4.462409910222461
17,0.425,8.90430443593742,-8727.272727272728,2.1865348043071458
18,0.421,10.195299775626,-8769.79293544458,2.3219268077751933
19,1.567,0.0677329514008607,-3660.39654295882,-2.692182490728638
20,0.955,132.312233311337,-5313.653136531366,4.885164533296167
21,0.516,3.20626932450546,-7860.2620087336245,1.1651080570549854
22,1.438,29.8400811593022,-3917.301414581066,3.395852495147619
23,0.962,29.5120922666639,-5286.343612334801,3.3848000867012487
24,0.456,6.08135001278718,-8411.214953271026,1.805226712907332
25,0.528,2.32487710150164,-7758.620689655172,0.8436671780730162
26,0.763,17.7337262454256,-6190.885640584695,2.8754682641309652
27,0.535,1.97151461099659,-7700.534759358288,0.6788020854146463
28,0.671,1.88799134909629,-6722.689075630251,0.6355134856663548
29,0.468,10.036909309201,-8294.930875576036,2.3062692291428393
30,1.041,32.568668220167,-4996.530187369883,3.4833507286813927
31,0.142,25.8463963576984,-13284.132841328412,3.252171185344789
32,1.453,72.7109803159661,-3885.5909336211544,4.286492409117716
